Origin,Destination,6E Flight Number,Departure (Local Time),Arrival (Local Time),Via,Days of Operations,Effective From,Effective To
Hyderabad (HYD),Chennai (MAA),188,06:35,07:50,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Chennai (MAA),791,08:35,09:55,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Chennai (MAA),311,10:05,11:10,,Except Sat,19-Feb-18,23-Mar-18
Hyderabad (HYD),Chennai (MAA),706,14:40,15:55,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Chennai (MAA),311,14:45,15:55,,Every Sat,24-Feb-18,24-Mar-18
Hyderabad (HYD),Chennai (MAA),381,16:35,17:50,,Except Tue,19-Feb-18,24-Mar-18
Hyderabad (HYD),Chennai (MAA),381,16:45,18:00,,Every Tue,20-Feb-18,20-Mar-18
Hyderabad (HYD),Chennai (MAA),274,17:25,18:45,,Daily,19-Feb-18,26-Feb-18
Hyderabad (HYD),Chennai (MAA),274,17:25,18:45,,Daily,27-Feb-18,24-Mar-18
Hyderabad (HYD),Chennai (MAA),3174,19:15,20:30,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Chennai (MAA),121,22:50,00:05,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Nagpur (NAG),7102,16:30,18:20,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Pune (PNQ),241,02:30,03:50,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Pune (PNQ),496,14:30,15:45,,Except Sat,19-Feb-18,23-Mar-18
Hyderabad (HYD),Pune (PNQ),118,22:05,23:25,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Rajahmundry (RJA),7118,07:00,08:20,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Rajahmundry (RJA),7123,14:35,15:50,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Raipur (RPR),384,07:45,09:00,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Raipur (RPR),334,10:30,11:45,,Except Tue,19-Feb-18,24-Mar-18
Hyderabad (HYD),Raipur (RPR),916,11:30,12:45,,Daily,01-Mar-18,24-Mar-18
Hyderabad (HYD),Raipur (RPR),466,17:25,18:45,,Every Tue,20-Feb-18,20-Mar-18
Hyderabad (HYD),Raipur (RPR),466,17:50,19:00,,Except Tue,19-Feb-18,24-Mar-18
Hyderabad (HYD),Sharjah (SHJ),1405,02:10,04:20,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Tirupati (TIR),7105,06:25,07:50,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Tirupati (TIR),7112,12:40,14:05,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Tirupati (TIR),7116,19:10,20:35,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Thiruvananthapuram (TRV),527,12:15,14:00,,Every Tue,20-Feb-18,20-Mar-18
Hyderabad (HYD),Thiruvananthapuram (TRV),383,18:20,19:55,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Vijayawada (VGA),7201,06:30,07:30,,Daily,02-Mar-18,24-Mar-18
Hyderabad (HYD),Vijayawada (VGA),7205,13:30,14:40,,Daily,02-Mar-18,24-Mar-18
Hyderabad (HYD),Vijayawada (VGA),7211,19:55,20:50,,Daily,02-Mar-18,24-Mar-18
Hyderabad (HYD),Varanasi (VNS),915,05:45,08:10,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Varanasi (VNS),6361,11:45,13:45,,Daily,01-Mar-18,24-Mar-18
Hyderabad (HYD),Varanasi (VNS),624,15:40,17:50,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Visakhapatnam (VTZ),6211,06:45,08:00,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Visakhapatnam (VTZ),879,10:35,11:40,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Visakhapatnam (VTZ),366,11:15,12:25,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Visakhapatnam (VTZ),611,16:50,18:00,,Daily,19-Feb-18,24-Mar-18
Hyderabad (HYD),Visakhapatnam (VTZ),773,17:30,18:40,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Bengaluru (BLR),758,12:40,14:50,,"Except Tue, Sun",01-Mar-18,24-Mar-18
Indore (IDR),Bengaluru (BLR),758,12:50,15:10,,Every Tue,06-Mar-18,20-Mar-18
Indore (IDR),Bengaluru (BLR),893,17:15,19:15,,Except Tue,01-Mar-18,24-Mar-18
Indore (IDR),Bengaluru (BLR),893,18:30,20:35,,Every Tue,06-Mar-18,20-Mar-18
Indore (IDR),Bengaluru (BLR),708,19:10,21:05,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Mumbai (BOM),655,07:25,08:45,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Mumbai (BOM),3904,13:00,14:20,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Mumbai (BOM),403,13:35,15:00,,Daily,01-Mar-18,24-Mar-18
Indore (IDR),Mumbai (BOM),403,13:55,15:20,,Every Sun,25-Feb-18,25-Feb-18
Indore (IDR),Mumbai (BOM),587,20:00,21:20,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Delhi (DEL),5013,07:00,08:25,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Delhi (DEL),509,09:45,11:15,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Delhi (DEL),5409,16:55,18:30,,Daily,19-Feb-18,28-Feb-18
Indore (IDR),Delhi (DEL),5409,16:55,18:20,,Daily,01-Mar-18,24-Mar-18
Indore (IDR),Delhi (DEL),867,21:20,23:20,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Goa (GOI),245,10:40,12:30,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Hyderabad (HYD),496,12:30,13:55,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Hyderabad (HYD),648,21:30,22:50,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Chennai (MAA),145,19:50,22:05,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Nagpur (NAG),436,18:55,19:55,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Raipur (RPR),811,07:40,09:05,,Daily,19-Feb-18,24-Mar-18
Indore (IDR),Raipur (RPR),252,15:20,16:35,,Daily,19-Feb-18,24-Mar-18
Imphal (IMF),Kolkata (CCU),202,10:50,12:20,,Daily,19-Feb-18,28-Feb-18
Imphal (IMF),Kolkata (CCU),202,10:50,12:20,,Daily,01-Mar-18,24-Mar-18
Imphal (IMF),Kolkata (CCU),358,14:15,15:40,,"Every Mon, Thu, Sat",19-Feb-18,24-Mar-18
Imphal (IMF),Kolkata (CCU),875,15:20,16:40,,Daily,19-Feb-18,24-Mar-18
Imphal (IMF),Guwahati (GAU),687,09:45,10:35,,Daily,19-Feb-18,24-Mar-18
Imphal (IMF),Guwahati (GAU),3906,12:10,12:55,,Daily,19-Feb-18,24-Mar-18
Imphal (IMF),Guwahati (GAU),187,13:45,14:30,,Daily,19-Feb-18,24-Mar-18
Imphal (IMF),Agartala (IXA),6114,13:25,14:15,,"Except Mon, Thu, Sat",20-Feb-18,23-Mar-18
Agartala (IXA),Kolkata (CCU),833,09:00,10:00,,Daily,19-Feb-18,24-Mar-18
Agartala (IXA),Kolkata (CCU),6488,10:15,11:15,,Daily,19-Feb-18,24-Mar-18
Agartala (IXA),Kolkata (CCU),275,12:15,13:20,,Daily,19-Feb-18,24-Mar-18
Agartala (IXA),Kolkata (CCU),6114,14:45,15:40,,"Except Mon, Thu, Sat",20-Feb-18,23-Mar-18
Agartala (IXA),Kolkata (CCU),294,15:15,16:25,,Daily,19-Feb-18,24-Mar-18
Agartala (IXA),Kolkata (CCU),373,17:40,18:45,,Daily,19-Feb-18,24-Mar-18
Agartala (IXA),Kolkata (CCU),277,19:25,20:25,,Daily,19-Feb-18,24-Mar-18
Agartala (IXA),Guwahati (GAU),316,16:00,17:00,,Daily,19-Feb-18,24-Mar-18
Agartala (IXA),Imphal (IMF),358,12:55,13:45,,"Every Mon, Thu, Sat",19-Feb-18,24-Mar-18
Agartala (IXA),Chennai (MAA),438,12:35,15:30,,Daily,19-Feb-18,24-Mar-18
Bagdogra (IXB),Kolkata (CCU),958,12:45,13:55,,Daily,19-Feb-18,24-Mar-18
Bagdogra (IXB),Kolkata (CCU),6132,15:00,16:00,,Daily,19-Feb-18,24-Mar-18
Bagdogra (IXB),Kolkata (CCU),534,16:35,17:45,,Daily,19-Feb-18,24-Mar-18
Bagdogra (IXB),Delhi (DEL),3646,12:35,15:00,,Daily,19-Feb-18,24-Mar-18
Bagdogra (IXB),Delhi (DEL),894,18:25,20:50,,Daily,19-Feb-18,24-Mar-18
Bagdogra (IXB),Guwahati (GAU),433,15:30,16:25,,Daily,19-Feb-18,24-Mar-18
Chandigarh (IXC),Bengaluru (BLR),491,08:15,11:20,,Every Tue,27-Feb-18,20-Mar-18
Chandigarh (IXC),Bengaluru (BLR),491,10:40,13:45,,"Except Tue, Sun",28-Feb-18,24-Mar-18
Chandigarh (IXC),Mumbai (BOM),264,12:15,14:45,,Except Sun,27-Feb-18,24-Mar-18
Chandigarh (IXC),Mumbai (BOM),463,14:35,17:05,,Except Sun,27-Feb-18,24-Mar-18
Chandigarh (IXC),Delhi (DEL),455,08:00,09:00,,Except Sun,27-Feb-18,24-Mar-18
Chandigarh (IXC),Delhi (DEL),842,12:05,13:25,,Except Sun,27-Feb-18,24-Mar-18
Chandigarh (IXC),Dubai (DXB),55,15:40,18:20,,Except Sun,27-Feb-18,24-Mar-18
Chandigarh (IXC),Hyderabad (HYD),274,14:15,16:50,,Except Sun,27-Feb-18,24-Mar-18
Mangalore (IXE),Bengaluru (BLR),897,07:00,08:00,,Except Tue,19-Feb-18,24-Mar-18
Mangalore (IXE),Bengaluru (BLR),178,16:15,17:10,,Except Tue,19-Feb-18,24-Mar-18
Mangalore (IXE),Bengaluru (BLR),178,16:35,17:35,,Every Tue,20-Feb-18,20-Mar-18
Mangalore (IXE),Bengaluru (BLR),877,21:50,22:50,,Daily,19-Feb-18,24-Mar-18
Mangalore (IXE),Mumbai (BOM),295,12:05,14:05,,Except Tue,19-Feb-18,24-Mar-18
Mangalore (IXE),Mumbai (BOM),295,16:05,18:05,,Every Tue,20-Feb-18,20-Mar-18
Mangalore (IXE),Mumbai (BOM),459,18:40,20:30,,Daily,19-Feb-18,24-Mar-18
Mangalore (IXE),Hyderabad (HYD),7102,14:05,15:55,,Daily,19-Feb-18,24-Mar-18
Mangalore (IXE),Chennai (MAA),7101,09:30,11:25,,Daily,19-Feb-18,24-Mar-18
Jammu (IXJ),Amritsar (ATQ),637,15:20,16:20,,Daily,19-Feb-18,24-Mar-18
Jammu (IXJ),Delhi (DEL),921,11:45,13:15,,Daily,19-Feb-18,24-Mar-18
Jammu (IXJ),Delhi (DEL),653,13:35,15:05,,Daily,19-Feb-18,24-Mar-18
Jammu (IXJ),Delhi (DEL),535,16:10,17:35,,Daily,19-Feb-18,24-Mar-18
Jammu (IXJ),Jaipur (JAI),914,15:30,17:05,,Daily,19-Feb-18,28-Feb-18
Jammu (IXJ),Srinagar (SXR),576,09:15,09:55,,Daily,19-Feb-18,24-Mar-18
Jammu (IXJ),Srinagar (SXR),554,09:35,10:20,,Daily,19-Feb-18,24-Mar-18
Jammu (IXJ),Srinagar (SXR),559,14:15,15:00,,Daily,19-Feb-18,24-Mar-18
Madurai (IXM),Bengaluru (BLR),909,21:15,22:20,,Daily,19-Feb-18,24-Mar-18
Madurai (IXM),Chennai (MAA),141,10:50,11:55,,Daily,19-Feb-18,24-Mar-18
Madurai (IXM),Chennai (MAA),698,13:30,14:35,,Daily,19-Feb-18,24-Mar-18
Madurai (IXM),Chennai (MAA),6385,20:20,21:25,,Except Tue,19-Feb-18,24-Mar-18
Madurai (IXM),Chennai (MAA),6385,20:30,21:35,,Every Tue,20-Feb-18,20-Mar-18
Ranchi (IXR),Bengaluru (BLR),485,16:05,18:30,,Daily,19-Feb-18,24-Mar-18
Ranchi (IXR),Bengaluru (BLR),997,19:20,21:45,,Except Tue,19-Feb-18,24-Mar-18
Ranchi (IXR),Bengaluru (BLR),997,19:20,21:55,,Every Tue,20-Feb-18,20-Mar-18
Ranchi (IXR),Mumbai (BOM),787,16:45,19:15,,Daily,19-Feb-18,24-Mar-18
Ranchi (IXR),Kolkata (CCU),822,09:40,10:45,,Daily,19-Feb-18,24-Mar-18
Ranchi (IXR),Kolkata (CCU),994,13:10,14:15,,Daily,19-Feb-18,24-Mar-18
Ranchi (IXR),Delhi (DEL),398,09:35,11:40,,Daily,19-Feb-18,24-Mar-18
Ranchi (IXR),Delhi (DEL),436,14:15,16:20,,Daily,19-Feb-18,24-Mar-18
Ranchi (IXR),Delhi (DEL),6184,20:25,22:30,,Daily,19-Feb-18,24-Mar-18
Ranchi (IXR),Hyderabad (HYD),866,12:00,14:00,,Except Tue,19-Feb-18,28-Feb-18
Ranchi (IXR),Hyderabad (HYD),866,12:00,13:50,,Every Tue,20-Feb-18,27-Feb-18
Ranchi (IXR),Hyderabad (HYD),866,12:00,14:00,,Except Tue,01-Mar-18,24-Mar-18
Ranchi (IXR),Hyderabad (HYD),866,12:00,13:50,,Every Tue,06-Mar-18,20-Mar-18
Ranchi (IXR),Patna (PAT),6325,17:55,18:45,,Daily,19-Feb-18,24-Mar-18
Port Blair (IXZ),Kolkata (CCU),973,09:30,12:00,,Daily,19-Feb-18,24-Mar-18
Port Blair (IXZ),Kolkata (CCU),6616,10:20,12:35,,Daily,19-Feb-18,24-Mar-18
Port Blair (IXZ),Chennai (MAA),624,11:10,13:20,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Ahmedabad (AMD),238,08:00,09:25,,Daily,19-Feb-18,04-Mar-18
Jaipur (JAI),Ahmedabad (AMD),238,08:00,09:25,,Daily,05-Mar-18,24-Mar-18
Jaipur (JAI),Bengaluru (BLR),169,04:00,06:30,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Bengaluru (BLR),642,08:40,11:30,,Every Sun,04-Mar-18,04-Mar-18
Jaipur (JAI),Bengaluru (BLR),642,09:00,11:30,,Except Tue,19-Feb-18,03-Mar-18
Jaipur (JAI),Bengaluru (BLR),642,09:00,11:35,,Every Tue,20-Feb-18,20-Mar-18
Jaipur (JAI),Bengaluru (BLR),642,09:00,11:30,,Except Tue,05-Mar-18,24-Mar-18
Jaipur (JAI),Bengaluru (BLR),556,20:15,22:45,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Mumbai (BOM),218,05:10,07:00,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Mumbai (BOM),965,09:10,11:15,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Mumbai (BOM),264,12:00,14:20,,Except Sun,19-Feb-18,26-Feb-18
Jaipur (JAI),Mumbai (BOM),394,17:25,19:20,,Daily,19-Feb-18,28-Feb-18
Jaipur (JAI),Mumbai (BOM),394,18:35,20:30,,Daily,01-Mar-18,24-Mar-18
Jaipur (JAI),Kolkata (CCU),207,07:50,10:00,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Kolkata (CCU),237,21:00,23:20,,Daily,19-Feb-18,28-Feb-18
Jaipur (JAI),Kolkata (CCU),237,21:25,23:50,,Daily,01-Mar-18,24-Mar-18
Jaipur (JAI),Kolkata (CCU),175,22:00,00:10,,Daily,19-Feb-18,28-Feb-18
Jaipur (JAI),Kolkata (CCU),175,22:30,00:30,,Daily,01-Mar-18,24-Mar-18
Jaipur (JAI),Delhi (DEL),6606,06:00,06:55,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Delhi (DEL),203,10:15,11:40,,Daily,01-Mar-18,24-Mar-18
Jaipur (JAI),Delhi (DEL),203,10:45,11:50,,Daily,19-Feb-18,28-Feb-18
Jaipur (JAI),Delhi (DEL),3813,19:35,20:45,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Hyderabad (HYD),6151,06:05,08:05,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Hyderabad (HYD),274,14:05,16:05,,Every Sun,25-Feb-18,25-Feb-18
Jaipur (JAI),Hyderabad (HYD),914,17:35,19:35,,Daily,19-Feb-18,28-Feb-18
Jaipur (JAI),Jammu (IXJ),913,13:35,15:00,,Daily,19-Feb-18,28-Feb-18
Jaipur (JAI),Chennai (MAA),569,14:10,16:45,,Daily,19-Feb-18,28-Feb-18
Jaipur (JAI),Chennai (MAA),442,20:05,22:50,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Chennai (MAA),736,22:20,01:00,,Daily,19-Feb-18,24-Mar-18
Jaipur (JAI),Pune (PNQ),116,22:10,23:55,,Daily,19-Feb-18,24-Mar-18
Kathmandu (KTM),Delhi (DEL),32,14:45,16:05,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Ahmedabad (AMD),856,20:55,23:00,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Bengaluru (BLR),541,06:00,08:40,,Daily,19-Feb-18,01-Mar-18
Lucknow (LKO),Bengaluru (BLR),541,06:05,08:40,,Daily,02-Mar-18,24-Mar-18
Lucknow (LKO),Bengaluru (BLR),904,08:25,11:25,,Except Tue,19-Feb-18,24-Mar-18
Lucknow (LKO),Bengaluru (BLR),904,13:30,16:10,,Every Tue,20-Feb-18,20-Mar-18
Lucknow (LKO),Bengaluru (BLR),226,14:10,16:50,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Mumbai (BOM),685,07:40,10:05,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Mumbai (BOM),339,12:30,14:55,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Mumbai (BOM),463,14:45,17:05,,Except Sun,19-Feb-18,26-Feb-18
Lucknow (LKO),Mumbai (BOM),463,14:50,17:05,,Every Sun,25-Feb-18,18-Mar-18
Lucknow (LKO),Kolkata (CCU),244,11:40,13:30,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Kolkata (CCU),244,12:20,14:15,,"Except Thu, Fri",24-Feb-18,28-Feb-18
Lucknow (LKO),Kolkata (CCU),627,12:20,14:15,,"Except Sat, Sun",19-Feb-18,23-Feb-18
Lucknow (LKO),Kolkata (CCU),866,18:50,21:00,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Kolkata (CCU),866,19:05,21:00,,Daily,19-Feb-18,28-Feb-18
Lucknow (LKO),Dehradun (DED),577,12:40,13:40,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),769,06:10,07:25,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),733,08:50,10:20,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),423,10:35,11:55,,Except Tue,01-Mar-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),423,10:35,11:50,,Every Tue,06-Mar-18,20-Mar-18
Lucknow (LKO),Delhi (DEL),423,10:45,11:55,,Daily,19-Feb-18,28-Feb-18
Lucknow (LKO),Delhi (DEL),306,15:10,16:25,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),162,17:50,19:20,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),633,17:55,18:55,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),185,18:25,19:40,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),447,19:55,21:20,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Delhi (DEL),633,21:50,23:05,,Daily,19-Feb-18,28-Feb-18
Lucknow (LKO),Delhi (DEL),447,22:25,23:40,,Daily,19-Feb-18,28-Feb-18
Lucknow (LKO),Goa (GOI),161,12:30,14:55,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Hyderabad (HYD),844,06:50,09:00,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Hyderabad (HYD),278,20:50,22:45,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Hyderabad (HYD),278,21:30,23:30,,Daily,19-Feb-18,28-Feb-18
Lucknow (LKO),Jammu (IXJ),576,07:10,08:45,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Chennai (MAA),569,13:50,16:45,,Daily,01-Mar-18,24-Mar-18
Lucknow (LKO),Patna (PAT),634,08:10,09:15,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Patna (PAT),342,17:10,18:10,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Raipur (RPR),588,16:10,17:40,,Daily,19-Feb-18,24-Mar-18
Lucknow (LKO),Sharjah (SHJ),1407,16:15,19:05,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Ahmedabad (AMD),244,05:30,08:00,,Daily,01-Mar-18,24-Mar-18
Chennai (MAA),Ahmedabad (AMD),244,06:40,09:10,,Every Sun,25-Feb-18,25-Feb-18
Chennai (MAA),Ahmedabad (AMD),244,07:05,09:30,,"Except Thu, Fri, Sun",24-Feb-18,28-Feb-18
Chennai (MAA),Ahmedabad (AMD),627,07:05,09:30,,"Except Sat, Sun",19-Feb-18,23-Feb-18
Chennai (MAA),Ahmedabad (AMD),237,16:10,18:35,,Daily,19-Feb-18,28-Feb-18
Chennai (MAA),Ahmedabad (AMD),237,16:25,19:15,,Daily,01-Mar-18,24-Mar-18
Chennai (MAA),Bhubaneswar (BBI),141,12:30,14:20,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Bhubaneswar (BBI),193,20:55,22:40,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Bengaluru (BLR),271,09:15,10:15,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Bengaluru (BLR),238,12:55,13:55,,Except Tue,19-Feb-18,24-Mar-18
Chennai (MAA),Bengaluru (BLR),119,13:55,14:55,,Except Tue,19-Feb-18,24-Mar-18
Chennai (MAA),Bengaluru (BLR),438,16:00,16:55,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Bengaluru (BLR),847,16:55,17:55,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Bengaluru (BLR),232,21:15,22:15,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Mumbai (BOM),654,05:20,07:20,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Mumbai (BOM),495,06:45,08:45,,Except Sun,19-Feb-18,26-Feb-18
Chennai (MAA),Mumbai (BOM),495,06:45,08:45,,Every Sun,25-Feb-18,18-Mar-18
Chennai (MAA),Mumbai (BOM),495,06:45,08:45,,Except Sun,27-Feb-18,24-Mar-18
Chennai (MAA),Mumbai (BOM),782,08:50,10:50,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Mumbai (BOM),621,12:20,14:20,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Mumbai (BOM),998,17:15,19:15,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Mumbai (BOM),387,22:35,00:35,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),987,05:15,07:35,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),797,07:55,10:20,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),892,11:35,14:00,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),633,11:55,14:00,,Daily,01-Mar-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),292,13:10,15:20,,Daily,19-Feb-18,28-Feb-18
Chennai (MAA),Kolkata (CCU),997,14:40,17:20,,Every Tue,20-Feb-18,20-Mar-18
Chennai (MAA),Kolkata (CCU),183,14:55,17:25,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),923,19:35,22:10,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),6385,22:00,00:15,,Except Tue,19-Feb-18,24-Mar-18
Chennai (MAA),Kolkata (CCU),6385,22:10,00:25,,Every Tue,20-Feb-18,20-Mar-18
Chennai (MAA),Coimbatore (CJB),101,06:20,07:25,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Coimbatore (CJB),985,09:45,10:50,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Coimbatore (CJB),238,12:55,14:00,,Every Tue,20-Feb-18,20-Mar-18
Chennai (MAA),Coimbatore (CJB),881,14:10,15:15,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Coimbatore (CJB),275,17:25,18:30,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Colombo (CMB),1211,04:00,05:30,,Every Wed,21-Feb-18,21-Mar-18
Chennai (MAA),Colombo (CMB),1201,06:55,08:15,,Except Wed,19-Feb-18,24-Mar-18
Chennai (MAA),Colombo (CMB),1203,10:05,11:30,,Every Wed,21-Feb-18,21-Mar-18
Chennai (MAA),Colombo (CMB),1203,12:00,13:25,,Except Wed,19-Feb-18,24-Mar-18
Chennai (MAA),Kochi (COK),298,06:10,07:25,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kochi (COK),563,11:50,13:00,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Kochi (COK),274,19:20,20:35,,Daily,19-Feb-18,26-Feb-18
Chennai (MAA),Kochi (COK),274,19:20,20:35,,Daily,27-Feb-18,24-Mar-18
Chennai (MAA),Delhi (DEL),6976,04:55,07:50,,Daily,01-Mar-18,24-Mar-18
Chennai (MAA),Delhi (DEL),652,05:00,07:50,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Delhi (DEL),976,06:30,09:20,,Daily,19-Feb-18,28-Feb-18
Chennai (MAA),Delhi (DEL),695,08:30,11:25,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Delhi (DEL),487,10:40,13:35,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Delhi (DEL),698,15:15,18:05,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Delhi (DEL),907,17:15,20:05,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Delhi (DEL),3752,18:45,21:45,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Delhi (DEL),704,22:35,01:25,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Doha (DOH),1707,00:30,02:45,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Dubai (DXB),65,06:45,09:45,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Guwahati (GAU),112,05:05,08:00,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Guwahati (GAU),571,15:15,17:45,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Goa (GOI),128,04:40,06:20,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Hyderabad (HYD),384,06:00,07:10,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Hyderabad (HYD),269,09:25,10:35,,Daily,19-Feb-18,26-Feb-18
Chennai (MAA),Hyderabad (HYD),269,09:25,10:35,,Daily,27-Feb-18,24-Mar-18
Chennai (MAA),Hyderabad (HYD),905,11:10,12:20,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Hyderabad (HYD),315,12:50,14:05,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Hyderabad (HYD),624,13:55,15:05,,Daily,19-Feb-18,24-Mar-18
Chennai (MAA),Hyderabad (HYD),302,16:00,17:10,,Except Sat,19-Feb-18,23-Mar-18
Chennai (MAA),Hyderabad (HYD),302,16:30,17:40,,Every Sat,24-Feb-18,24-Mar-18
Chennai (MAA),Hyderabad (HYD),3173,17:30,18:45,,Daily,19-Feb-18,24-Mar-18
